	effect	std_err	p-val	95% CI	nctrs	ncases	mean_ctr	mean_css	std_ctr	std_css
FengQ_2015_in_AUT-CRC	26.73731645076251	9.265852929766243	0.004768429288045972	8.576244708420674|44.898388193104346	61	46	97.46603916096255	124.59930198005345	49.22221809966798	41.32570426409429
GuptaA_2019_in_IND-CRC	-9.739810485475479	5.443866975770407	0.07910012842927239	-20.409789757985475|0.9301687870345177	30	30	37.834334364224375	36.25229747523587	17.25676906904803	17.075147698180174
HeQ_2017_in_CHN-CD	-53.64576805658078	6.861732898276665	1.2321611940316918e-11	-67.09476453720305|-40.196771575958515	44	47	78.74550305046104	19.304474922280697	32.27851430621507	17.394839014663823
JieZ_2017_in_CHN-ACVD	-4.689355721981133	4.269761204173455	0.2729667485117725	-13.058087682161105|3.679376238198839	156	149	71.31201006704423	66.82600527367308	36.30554368362162	33.50792530774165
KarlssonFH_2013_in_SWE-IGT	-20.851777274928626	6.414620562286209	0.001632252321430886	-33.424433577009594|-8.279120972847657	43	49	141.38041458146475	117.90438059778303	26.693636893393716	34.01580865056641
KarlssonFH_2013_in_SWE-T2D	-20.905975112372495	7.127135748957912	0.004233008040442531	-34.875161180330004|-6.936789044414988	43	53	141.38041458146475	118.19287748719108	26.693636893393716	37.244305445369754
MetaCardis_2020_a_in_FRA-IGT	-5.41140259176505	4.495821343825931	0.2296083872480641	-14.223212425663874|3.400407242133774	176	151	115.2814033853384	97.35266277927239	39.10401459257506	39.638450468836844
MetaCardis_2020_a_in_FRA-T2D	-30.820352276632818	4.222086223364756	1.2722407777733796e-12	-39.09564127442774|-22.545063278837894	176	290	115.2814033853384	80.72067916616356	39.10401459257506	42.526984114301534
MetaCardis_2020_a_in_FRA-CAD	-8.452447395999755	5.283011633155855	0.11072208713833692	-18.80715019698523|1.9022554049857199	176	114	115.2814033853384	109.3448583553346	39.10401459257506	38.65268282299453
MetaCardis_2020_a_in_FRA-HF	-11.287156703157263	8.612346294207711	0.19157389450254003	-28.167355439804375|5.59304203348985	176	20	115.2814033853384	108.44053522227998	39.10401459257506	38.103365986809536
MetaCardis_2020_a_in_DEU-T2D	-14.396579222451617	4.217408593808944	0.0006952621662684597	-22.662700066317147|-6.130458378586088	273	213	87.55275963301027	90.25784847234821	40.80899128544519	37.4937454638707
MetaCardis_2020_a_in_DEU-IGT	3.9539727000233533	4.731210324808002	0.40389696121048524	-5.31919953660033|13.227144936647036	273	73	87.55275963301027	87.54022575098078	40.80899128544519	36.42990408106591
NielsenHB_2014_in_ESP-UC	-25.079090546411333	8.333733890045607	0.003181601994435807	-41.413208970900726|-8.744972121921943	59	68	117.9009567567433	93.94504219257686	47.21049154327289	45.154875921408774
NielsenHB_2014_in_ESP-CD	-94.42854379184547	14.40160272590876	9.330213031342916e-09	-122.65568513462664|-66.2014024490643	59	13	117.9009567567433	29.80728286294307	47.21049154327289	15.512708378052482
QinJ_2012_in_CHN-T2D	1.703255046517064	4.4100474760710116	0.6995763724314112	-6.940438006582118|10.346948099616247	173	169	65.94563765223965	65.03305164195496	34.42258816252711	38.46557446714258
QinN_2014_in_CHN-cirrhosis	-26.76256429112965	4.6803336931067	3.2988079930637825e-08	-35.93601832961878|-17.589110252640516	114	123	86.37231453598845	56.07716779300249	39.7303955166099	26.693993357899807
ThomasAM_2018a_in_ITA-CRC	1.308210848767951	12.54532178933176	0.9174115099668201	-23.280619858322297|25.897041555858202	22	28	83.31641299713878	72.67593318902122	42.566258394596744	49.48330540419609
ThomasAM_2018b_in_ITA-CRC	25.200733192917866	9.388067326156195	0.009677091454711505	6.800121233651726|43.60134515218401	27	31	102.89882804284761	127.65356796470628	34.29996423219124	33.272366926318504
VogtmannE_2016_in_USA-CRC	-22.76840825381146	9.452491739458406	0.017916998537079835	-41.29529206314994|-4.2415244444729865	52	49	129.4810717049289	107.77859386796433	49.118046419130515	45.446429411072835
WirbelJ_2018_in_DEU-CRC	-2.2754002511756193	7.4555934316106445	0.7607473506663649	-16.88836337713248|12.337562874781245	65	60	123.4488436720531	125.14721701568286	36.24837404800141	41.44708577060888
XuQ_2021_in_CHN-T2D	-34.56446075165404	7.027265938179949	1.6066687610180836e-06	-48.33790199048674|-20.79101951282134	217	31	84.55041729113586	50.85536181631119	36.672442864160715	30.490953177476207
YachidaS_2019_in_JPN-CRC	0.969339603929096	3.1641618622138834	0.7594652688650652	-5.2324176460101155|7.171096853868307	250	258	59.995395885909474	60.96998744830737	36.338933331410075	34.84262351066668
YuJ_2015_in_CHN-CRC	-7.955191066935832	7.878778542495575	0.31463812256581103	-23.39759701022716|7.487214876355495	54	73	90.98479558150295	81.3591044057778	42.416148449647665	41.40665164003864
ZellerG_2014_in_FRA-CRC	-7.446458411360253	9.084377358528371	0.41424430086092545	-25.251838034075863|10.358921211355355	59	51	121.92767139487515	114.14228317158623	43.083420368419176	46.828078993079544
HanniganGD_2017_in_USA-CRC	-4.477571099860691	7.25621083097856	0.5403704908902776	-18.699744328578667|9.744602128857288	25	24	42.49433733467586	33.948434532744024	24.576685473347197	21.024643609979872
SankaranarayananK_2015_in_USA-T2D	-0.2970610510948584	13.269627895768874	0.9822786317997023	-26.30553172680185|25.711409624612134	18	19	76.66787987271069	72.36109469703776	38.15910290609269	32.33678063578329
